phrase_en,phrase_ru,phrase_uz,topic,difficulty
Affect alienists affect-alienistically alienate the alienated affects that estrange emotional economies in Lacanian psychoanalytic topologies.,Аффект-алиенисты аффект-алиенистски отчуждают отчуждённые аффекты, которые отчуждают эмоциональные экономики в лакановских психоаналитических топологиях.,Afekt alienistlar Lakon psixoanalitik topologiyalarida hissiy iqtisodiyotlarni begona qiladigan begona afektlarni afekt-alienist begona qiladi.,present_simple,hard
Neoromanticists neoromanticistically romanticize the sublime ecologies that enchant bioregional ontologies in Thoreauvian transcendentalisms.,Неоромантики неоромантически романтизируют возвышенные экологии, которые очаровывают биорегиональные онтологии в соровьёвских трансцендентализмах.,Neoromantiklar Torov transsendentalizmlarida bioregional ontologiyalarni sehrlaydigan sublim ekologiyalarni neoromantik romantizatsiya qiladi.,present_simple,hard
Synecologists synecologically integrate the synecological interactions that stabilize community assemblages in Lotka-Volterra predator-prey models.,Синэкологи синэкологически интегрируют синэкологические взаимодействия, которые стабилизируют сообщественные ассамблеи в моделях Лотки-Вольтерры хищник-жертва.,Sinekologlar Lotka-Volterra yirtqich-ovbaza modellarida jamiyat assambleyalarini barqarorlashtiradigan sinekologik o'zaro ta'sirlarni sinekologik integratsiya qiladi.,present_simple,hard
Hyperstitionalists hyperstitionally engineer the hyperstitional fictions that retrocausally actualize futural possibilities in Landian cybertheories.,Гиперстиционалисты гиперстиционно конструируют гиперстиционные фикции, которые ретро-казуально актуализируют будущие возможности в лэндианских кибертеориях.,Giperstitsionalistlar Land kibernazariyalarida kelajak imkoniyatlarini retrokazual aktualizatsiya qiladigan giperstitsional xayollarni giperstitsion muhandislik qiladi.,present_simple,hard
Tectonophysicists tectonophysically simulate the tectonic stress accumulations that trigger coseismic slip deficits in viscoelastic lithosphere models.,Тектонoфизики тектонoфизически симулируют накопления тектонических напряжений, которые запускают дефициты косейсмического скольжения в моделях вязкоупругой литосферы.,Tektonophiziklar viskoelastik litosfera modellarida koseysmik siljish defitsitlarini ishga tushiradigan tektonik stress to'planishlarini tektonophizik simulyatsiya qiladi.,present_simple,hard
Autopoiesis theorists autopoietically theorize the autopoietic closures that self-organize operational domains in Maturanan enactive cognitions.,Автопоэзис теоретики автопоэтически теоризируют автопоэтические замыкания, которые самоорганизуют операционные домены в матуранианских энактивных когнициях.,Autopoezis nazariyotchilar Maturana enaktiv kognitsiyalarida operatsion domenlarni o'z-o'zini tashkil etadigan autopoezik yopilishlarni autopoezik nazariy qiladi.,present_simple,hard
Schizoanalysts schizoanalytically map the desiring-machines that deterritorialize libidinal flows in Deleuze-Guattarian schizoanalytic cartographies.,Шизоаналитики шизоаналитически наносят на карту desiring-machines, которые deterritorialize либидные потоки в дельёз-гуаттарианских шизоаналитических картографиях.,Shizoanalitiklar Delez-Guattari shizoanalitik kartografiyalarida libidinal oqimlarni deterritorializatsiya qiladigan desiring-mashinalarni shizoanalitik xaritalaydi.,present_simple,hard
Rhizomatics rhizomatically proliferate the rhizomatic multiplicities that delink arborescent hierarchies in nomadic war machine assemblages.,Ризоматики ризоматически размножают ризоматические множественности, которые разрывают арборесцентные иерархии в номадических воинственно-машинных ассамблеях.,Rizomatiklar nomad urush mashina assambleyalarida arborescent ierarxiyalarni uzadigan rizomatik ko'pligi rizomatik ko'paytiradi.,present_simple,hard
Panpsychists panpsychically posit the panpsychic proto-consciousnesses that constitute experiential qualia in Whiteheadian process ontologies.,Панпсихологи панпсихически предполагают панпсихические прото-сознания, которые составляют experiential qualia в уайтхедовских процессуальных онтологиях.,Panpsixiklar Uaytxed protsess ontologiyalarida tajribaviy qualia tashkil etuvchi panpsixik proto-onglarni panpsixik faraz qiladi.,present_simple,hard
Speculative fabulators speculatively fabulate the speculative fables that narrativize quantum indeterminacies in Bohrian complementarity myths.,Спекулятивные фабулаторы спекулятивно фабулируют спекулятивные басни, которые нарративизируют квантовые неопределённости в бохрианских мифах комплементарности.,Spekulyativ fabulatorlar Bohr komplementarlik miflarida kvant noaniqliklarini narrativizatsiya qiladigan spekulyativ ertaklarni spekulyativ fabulatsiya qiladi.,present_simple,hard
Transcorporeal ecocritics transcorporeally ecocritique the transcorporeal entanglements that blur anthropocentric boundaries in Alaimoan material feminisms.,Транс-корпoreal экокритики транс-корпореально экокритикуют транс-корпoreal запутанности, которые размывают антропоцентрические границы в алаймоанских материальных феминизмах.,Transkorporeal ekokritiklar Alaimo material feminizmlarida antropotsentrik chegaralarni xiralashtiradigan transkorporeal chigallashlarni transkorporeal ekokritik qiladi.,present_simple,hard
Quantum anthropologies quantum-anthropologically entangle the quantum anthropologies that superpose cultural relativities in Harawayian cyborg manifestos.,Квантовые антропологии квантово-антропологически запутывают квантовые антропологии, которые суперпозиционируют культурные релятивности в харауэйанских киборг-манифестах.,Kvant antropologiyalar Haravey kiborg manifestlarida madaniy relativliklarni superpozitsiya qiladigan kvant antropologiyalarini kvant-antropologik chigallaydi.,present_simple,hard
Necropolitical theorists necropolitically theorize the necropolitical sovereignties that biopoliticize death worlds in Mbembian colonial analyses.,Некрополитические теоретики некрополитически теоризируют некрополитические суверенитеты, которые биополитизируют миры смерти в мбембианских колониальных анализах.,Nekropolitik nazariyotchilar Mbembe kolonial tahlillarida o'lim olamlarini biopolitik qiladigan nekropolitik suverenitetlarni nekropolitik nazariy qiladi.,present_simple,hard
Vibrant matter theorists vibrant-matter-theoretically vitalize the vibrant matter agentialities that animate posthumanist ecologies in Bennettian ontologies.,Теоретики vibrant matter vibrant-matter-теоретически оживляют vibrant matter агентские способности, которые анимируют постгуманистские экологии в беннеттианских онтологиях.,Vibrant matter nazariyotchilar Bennett ontologiyalarida postgumanist ekologiyalarni animatsiya qiladigan vibrant matter agentliklarini vibrant-matter nazariy vitalizatsiya qiladi.,present_simple,hard
Assemblage theorists assemblage-theoretically assemble the assemblage becomings that deterritorialize molar identities in Deleuzean molecular revolutions.,Теоретики ассамблея ассамблейно-теоретически собирают становления ассамблея, которые deterritorialize молярные идентичности в дельёзанских молекулярных революциях.,Assambleya nazariyotchilar Delez molekulyar inqiloblari da molar identifikatsiyalarni deterritorializatsiya qiladigan assambleya bo'lishlarini assambleya-nazariy yig'adi.,present_simple,hard
Slow violence theorists slow-violence-theoretically temporalize the slow violence attritions that imperceptibly erode environmental justices in Nixonian critiques.,Теоретики медленного насилия медленного-насилия-теоретически темпорализируют медленного насилия аттриции, которые неощутимо эродируют экологические справедливости в никсоновских критиках.,Se kinchi zo'ravonlik nazariyotchilar Nikson tanqidlarida ekologik adolatlarni sezilmas eroz qiladigan se kinchi zo'ravonlik attritsiyalarini se kinchi-zo'ravonlik nazariy temporalizatsiya qiladi.,present_simple,hard
Multispecies ethnographers multispecies-ethnographically entangle the multispecies kinships that co-constitute more-than-human worlds in Tsingian fungal economies.,Мультивидовые этнографы мультивидово-этнографически запутывают мультивидовые родства, которые co-constitute миры more-than-human в тсингian грибковых экономиках.,Multiturli etnograflar Tsing qo'ziqorin iqtisodiyotlarida inson dan ortiq olamlarni co-constitute qiladigan multiturli qarindoshliklarni multiturli-etnografik chigallaydi.,present_simple,hard
Hauntological theorists hauntologically spectralize the hauntological specters that retroactively haunt deconstructive aporias in Derridean differance deferrals.,Гаунтологические теоретики гаунтологически спектрализуют гаунтологические спектры, которые ретроактивно преследуют деконструктивные апории в дерридеанских дифферанс отложениях.,Gauntologik nazariyotchilar Derrida differans kechiktirishlarida dekonstruktiv aporiyalarni retroaktiv ta'qib qiladigan gauntologik spetrlarni gauntologik spektralizatsiya qiladi.,present_simple,hard
Agnotological epistemologists agnotologically epistemologize the agnotological ignorances that manufacture doubt in Proctorian tobacco industry histories.,Агно тологические эпистемологи агно тологически эпистемологизируют агно тологические невежества, которые производят сомнения в прокторианских историях табачной промышленности.,Agnotologik epistemologlar Proktor tamaki sanoati tarixlarida shubhalarni ishlab chiqaradigan agnotologik jaholatlarni agnotologik epistemologizatsiya qiladi.,present_simple,hard
Petrofeminist materialists petrofeminist-materialistically extract the petrofeminist extractions that feminize hydrocarbon dependencies in Baradonian intra-actions.,Петрофеминистские материалисты петрофеминистско-материалистически извлекают петрофеминистские экстракции, которые феминизируют углеводородные зависимости в барадонианских интра-акциях.,Petrofeminist materialistlar Baradon intra-aktsiyalarida uglevodorod bog'liqliklarini feminizatsiya qiladigan petrofeminist ekstraksiyalarni petrofeminist-materialistik chiqarib oladi.,present_simple,hard
Chthulucene thinkers chthulucene-thinkingly sympoietically weave the chthulucene sympoieses that co-thrive with tentacular multispecies becomings in Harawayan staying-with-the-trouble.,Хтулуценские мыслители хтулуценски-мысляще симпоэтически ткут хтулуценские симпоэзисы, которые co-thrive с tentacular multispecies становлениями в харауэйанском staying-with-the-trouble.,Xtulutsene fikrlovchilar Haravey qolish bilan muammo da tentakulyar multiturli bo'lishlar bilan co-thrive qiladigan xtulutsene simpoezislarini xtulutsene-fikrlovchi simpoetik to'qiladi.,present_simple,hard
